Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,15.291907753776256,15.290177154541016,20.07450817002124,4.209685370872256,22.328626820535664,0.99992552478763
ZR Steps Ahead,13.574467414197095,13.173548889160156,17.042454124288295,3.626936135576296,18.70901892689711,0.7829122504313534
FT Rolling Origin,11.28580147758147,10.575869750976562,13.577648485508236,2.9117441691454937,14.687421575264567,0.810075320763507
ZR Rolling Origin,13.639745603921295,13.558390045166016,17.681295153340887,3.7328904465154795,19.403430878214227,0.9852526840953792
