Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,6509454.545236797,6401474.4,27.505897644914857,15.236476251769805,23.99471994858164,0.9387772022043711
ZR Steps Ahead,5026143.0784586305,4708166.4,20.60449102064787,11.20614737488922,18.36419378797096,0.9292824902488618
FT Rolling Origin,5075047.683328699,4681709.2,20.56852063599067,11.143175241549386,18.27722661485815,0.7964776085212315
ZR Rolling Origin,3930314.633585357,3270530.0,14.610421772615384,7.784355534671934,13.279933634135121,-0.9713295208346583
