Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,10961.784569241829,9142.8609375,14.069748020683976,1.367407218533924,13.280519527513441,-0.7175634209665968
ZR Steps Ahead,9787.96294508492,7297.25625,10.741326718931965,1.0913783923820939,10.692991263897355,-0.05574578638160009
FT Rolling Origin,9798.55701804939,7855.58671875,11.154907329309893,1.1748823544914573,11.588257161719842,0.6832823323137077
ZR Rolling Origin,10340.96732547306,8425.1265625,12.497228118019777,1.2600627918742646,12.30238040408301,-0.21851822218063136
