Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,21.371011661544276,21.255223083496094,28.040937765740477,5.851979395977492,32.765347183514706,0.9957573670142235
ZR Steps Ahead,13.516165940556856,13.46218032836914,17.576146762918047,3.706402026319819,19.274203706776337,0.9876582058475408
FT Rolling Origin,17.84716004232205,17.79164810180664,23.373285290852934,4.898389337211759,26.518272565174883,0.9617779243280256
ZR Rolling Origin,14.39736772869515,14.328073120117187,18.695190057038396,3.9447992784460264,20.629514504258744,0.9864470562906096
