Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,0.8076623543224878,0.7086698681485377,58.62509627822183,1.7925881390952858,97.88008326122704,-0.16605088722665426
ZR Steps Ahead,0.12207229362146552,0.11606857776641855,10.077505845643971,0.2935967298416736,9.560412253086465,0.5962910432166825
FT Rolling Origin,0.1519819825674106,0.11739380359649658,10.589828990395636,0.2969489029922367,9.739720885785088,-0.04656030212391815
ZR Rolling Origin,0.18577101883305827,0.13097153902053824,10.856774275979072,0.33129393242110106,12.194698409388169,0.4971347142041637
