Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,19.52601649269272,19.427225494384764,25.61773746291455,5.348695841372875,29.497472823046483,0.9914661392388052
ZR Steps Ahead,17.357722631770724,17.310597229003907,22.69013607371019,4.765946606076916,25.62019257234036,0.9569337419735326
FT Rolling Origin,24.022885885328577,23.660482788085936,31.339303173005995,6.5141945220169735,37.5997295237365,0.9919052420844109
ZR Rolling Origin,9.25846007300897,8.170613098144532,10.391229867946539,2.2495298833147346,11.114998968114511,
