Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,2158.7387759594017,2004.8830078125,12.286291559272474,1.7282493460333297,11.693310982168411,0.03774997272913686
ZR Steps Ahead,2399.1468145971235,2245.8134765625,13.715593837384976,1.9359362401982945,13.02820933763556,-0.6627398719880628
FT Rolling Origin,2225.5232831415797,1991.9283203125,11.579941450289144,1.7170821456966032,11.656735852755654,-0.9467559512075778
ZR Rolling Origin,2359.946247757763,2155.4642578125,13.321653097221406,1.8580534023414967,12.521323716857808,-0.7870526309703877
