Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,5738047.145167771,5554820.8,24.056791623607143,13.221312765389946,21.233577536263322,0.9708135324275962
ZR Steps Ahead,4476702.915704548,3835054.0,17.13911836264313,9.128007946927788,15.295216544528364,-0.07382116016600757
FT Rolling Origin,6454267.8459064895,6375016.0,27.314855099073586,15.173501262248667,23.88447828621104,0.9513754357444186
ZR Rolling Origin,7188138.101608121,7142296.0,30.477531784064695,16.999743588306853,26.326364138543507,0.9655860413990681
