Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,13.459252231872654,13.365968322753906,17.441153750661577,3.679912975967617,19.123502876262176,0.948682513539762
ZR Steps Ahead,15.026934083480109,15.001546478271484,19.68985384997742,4.130219690180914,21.860750568051806,0.9816909101216303
FT Rolling Origin,14.879484382573384,14.809125518798828,19.32798927811607,4.077242429685231,21.402455310291888,0.9814511832815992
ZR Rolling Origin,8.018911932611285,6.823655700683593,8.635613227748298,1.8786861191144308,9.169740749903346,0.7498292160623508
