Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,0.31192436526808526,0.30622708797454823,25.626779903302417,0.7746047496093142,27.886496511276203,-0.79360885020476
ZR Steps Ahead,0.11645794387657699,0.08626692295074471,7.393105813292947,0.21821311985757944,7.29850864139967,-0.7305744851133569
FT Rolling Origin,0.17468008158635992,0.1295170783996583,11.601532392181902,0.3276148584616251,10.487084451683748,0.00872352127508914
ZR Rolling Origin,0.4269380059179257,0.39819562435150135,32.77367920217543,1.0072401626402017,40.298316238505045,-0.29926566180987413
