Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,21.617815356966194,21.351434326171876,28.247732524846775,5.878468236277514,33.17364034872683,0.9896260491630983
ZR Steps Ahead,21.33353178699961,21.25522232055664,27.994630642470465,5.851979185925312,32.66016252876657,0.9862414393703686
FT Rolling Origin,12.42144164712294,12.115234375,15.691617070465258,3.3355614129022264,17.078279381394808,0.9200954237085611
ZR Rolling Origin,11.680195202328436,11.537972259521485,15.059096145965894,3.1766298414673613,16.30812894039917,0.9131392241865183
