Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,8.25774494987072,7.129524230957031,9.042037754177446,1.9628977187766286,9.6134916765439,0.08904831712800905
ZR Steps Ahead,11.199533749204633,10.768286895751952,13.897368410510444,2.964720379380272,14.999935707192275,0.9634097438399717
FT Rolling Origin,15.81224138573456,15.771230316162109,20.622013525236643,4.342128732163641,22.999681066716025,0.9782901762767797
ZR Rolling Origin,11.172719554999883,10.86449966430664,14.074788184082573,2.991209639784655,15.183785313832704,0.8830481949545667
