Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,10613.993028941579,9423.2515625,17.919591159964295,1.842359473220545,20.143077213069567,-0.5236445480948527
ZR Steps Ahead,4668.701039880068,3491.87109375,6.583054509563856,0.6827029657614851,6.893488254879461,0.2038433693708679
FT Rolling Origin,10256.726213497028,9616.05703125,18.554391256768863,1.8800552706302083,20.66715265390453,0.556655232156322
ZR Rolling Origin,8630.182219517417,7270.72734375,13.681203387391392,1.4215149951284625,15.08486098422582,-0.8259070598842919
