Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,18.023007820550866,17.984069061279296,23.662681376685516,4.951366597707441,26.89439691776402,0.9905657494326392
ZR Steps Ahead,14.48161477442585,14.328071594238281,18.649282651056033,3.944798858341665,20.58840055806815,0.9523146363676819
FT Rolling Origin,13.09882596935351,12.981128692626953,16.902952547613936,3.573959085132795,18.47791096385106,0.9765881253200406
ZR Rolling Origin,8.224975419778017,7.03331298828125,8.91987352624856,1.936408878476607,9.460863921218095,-0.9923623082238049
