Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,18.008104940995715,17.984068298339842,23.552718256827916,4.95136638765526,26.707295075127274,0.9805327672346296
ZR Steps Ahead,13.587867815922387,13.462178802490234,17.54624659935559,3.706401606215458,19.25218336887175,0.9378441373508238
FT Rolling Origin,14.70220889933528,14.616704559326172,19.06311757045309,4.024265169189549,21.07903737904487,0.9849349087836715
ZR Rolling Origin,15.64783776418067,15.578807830810547,20.330721357697527,4.289151051563597,22.63605656215487,0.9918872828874068
