Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,0.1644964821553847,0.13702087402343746,11.26021191092669,0.3465957911045271,11.719128769424543,-0.6077079491527766
ZR Steps Ahead,0.20839496989325115,0.1679138422012329,14.800095694174093,0.424739890107417,13.703483719727409,-0.8997966741802934
FT Rolling Origin,0.1398610130879787,0.10921719074249267,9.253442503393556,0.276266071847807,9.395440502486009,-0.33242238831010273
ZR Rolling Origin,0.2897909571973987,0.2691555023193358,22.823596986140597,0.6808317704976077,24.736264076543648,-0.4270872535982154
