Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,0.26778982361503834,0.230539309978485,18.854821058569982,0.5831516919751747,21.333412084757626,-0.5320013212532559
ZR Steps Ahead,0.3239857735714352,0.3024274468421935,25.010462625872226,0.7649935160394823,29.106706730968813,0.1762027685070248
FT Rolling Origin,0.09489670584603287,0.08317763805389414,7.126539984733996,0.21039874011140994,6.947315573453245,0.4347677175112097
ZR Rolling Origin,0.2908816498047825,0.2528694629669189,21.590893927738854,0.6396360568259457,22.635068019286262,-0.5575694503545676
