Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,1368.6726009593906,1234.45,2.6658170969117054,0.5519228705542006,2.62198815896641,0.9588585183250949
ZR Steps Ahead,1146.8182059842372,979.978125,2.1171399238188964,0.43814843843843265,2.0996215964896168,0.8304807710647244
FT Rolling Origin,2841.194728159105,2797.640625,5.9320811472166985,1.2508257479274558,6.006775150578568,-0.9440631040264461
ZR Rolling Origin,2856.4867778154894,2606.7421875,5.469445972970917,1.1654750139088146,5.621676195146708,-0.9672260567464771
