Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,8222.202680432734,7060.396875,7.9823576030412084,1.863164135104671,7.86041652656164,-0.6672921482790716
ZR Steps Ahead,9013.52770033057,6394.6265625,7.6540760683764475,1.687474384170177,7.0923521112955505,0.846353161579337
FT Rolling Origin,9939.726336879852,7011.7546875,8.400999969788158,1.8503279757771491,7.721391230490002,0.23567639549519842
ZR Rolling Origin,7589.647804741958,5891.61875,6.874743130491953,1.554735937235853,6.568080508377025,-0.45540358461597735
