Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,223861.45279558515,173801.6,6.1146968168147895,1.5439470656716006,5.820503091586472,0.7970730230299548
ZR Steps Ahead,251365.23770143715,242702.3,8.030974458959875,2.1560187243198476,8.142206637684382,-0.5943098749001662
FT Rolling Origin,262389.25531545683,230380.2,7.954516851097448,2.0465567277794707,7.660639752269033,-0.47380614333630044
ZR Rolling Origin,337874.1510429401,285422.95,9.935023147900127,2.535522838269797,9.266854446307498,0.5212647418968486
