Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,5501149.941366369,5184409.6,22.658079796330316,12.339678145060985,20.005003076593713,0.9753169647382729
ZR Steps Ahead,6278170.544338024,6110436.8,26.39276029015759,14.543762791762516,23.07339918657081,0.9275515944789083
FT Rolling Origin,5021787.30763532,4761082.0,20.76454493626684,11.332094497750187,18.53779090950154,0.9520313720815264
ZR Rolling Origin,4012223.817360841,3344398.8,14.975809972350476,7.960174439289709,13.541642724447374,-0.9963577015903705
