Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,263495.2171425464,262876.6625,39.8419643552401,14.919362570186248,33.061364947754946,0.9846680686051076
ZR Steps Ahead,179686.92090229076,164825.6625,26.21853380223812,9.354553562580518,22.47680451136548,0.9459915463389753
FT Rolling Origin,240237.8351457253,232807.675,36.14203270542453,13.2128203371689,30.08364590020392,0.89012982656176
ZR Rolling Origin,214800.32491417864,208621.7875,32.39883699587957,11.840168914777095,27.433252489210812,0.9784969803333083
