Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,22.667233842875287,22.602169036865234,29.754999943200023,6.222820009395085,35.064307900930224,0.9876851153345299
ZR Steps Ahead,15.339454930225275,15.193966674804688,19.78250574720764,4.183196740624415,21.977776163423766,0.9482477290861724
FT Rolling Origin,17.834284775040498,17.791647338867186,23.412672087040175,4.898389127159578,26.574208416249345,0.9901525797721505
ZR Rolling Origin,15.699954826537258,15.578807830810547,20.29173253016673,4.289151051563597,22.59831683116503,0.9867226534403453
