Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,0.26715232682144757,0.24360156059265137,20.78503621347077,0.6161927969709594,19.99550754101844,-0.6869058072973299
ZR Steps Ahead,0.19428327496759606,0.12842576503753672,10.154380308444404,0.3248543694428295,11.164931361507998,-0.2595705235803817
FT Rolling Origin,0.0782057302806861,0.06155254840850839,5.293376289185446,0.15569784065526765,5.214990541703492,0.79360885020476
ZR Rolling Origin,0.3758274482718888,0.36646833419799796,31.16468148612056,0.9269856371255313,34.69412577097488,-0.45069601765197087
