Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,11.630334664892557,11.537969970703125,15.047186960689634,3.176629211310819,16.283974405379382,0.9622224655604382
ZR Steps Ahead,10.7253678594587,10.383445739746094,13.421134339829848,2.858766068441089,14.435815285098224,0.9589460204021162
FT Rolling Origin,15.395166612146337,15.386388397216797,20.161443149552888,4.236174211172277,22.427864942855198,0.9944871060191007
ZR Rolling Origin,14.910474580906856,14.905335235595704,19.532201599874117,4.1037308498808915,21.650883191099304,0.9974595245618545
