Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,5588786.127224408,5290240.8,23.08082217102289,12.591572390782925,20.35824026410565,0.8755785362437978
ZR Steps Ahead,5731360.515277747,5343156.8,23.420285618468036,12.717520465704329,20.544772576225395,0.7814066768701953
FT Rolling Origin,7098492.833056606,7062922.0,30.05530054367692,16.810821475924747,26.03444872184437,0.9607462330150841
ZR Rolling Origin,3946247.8899025084,3265024.0,14.692624987259478,7.771250422786734,13.2347033863532,-0.9960663994319898
