Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,9.043501581485513,8.555447387695313,11.011703741124837,2.3554823037842914,11.712853523077186,0.9113178046650819
ZR Steps Ahead,13.167081500509854,12.981126403808593,16.865512355245,3.573958454976253,18.442917863969825,0.9897886371624018
FT Rolling Origin,20.735296013168647,20.677960205078126,27.19976631308055,5.693047614490446,31.559931057880817,0.9783545867215775
ZR Rolling Origin,8.301228204948059,6.823658752441406,8.600130273852978,1.8786869593231539,9.171254367377404,-0.5362992462486108
