Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,39463.80988121736,33987.771875,12.505212625165447,3.7027007816977195,13.476592269966565,-0.7202892400143893
ZR Steps Ahead,43850.64157271945,38267.571875,14.085603604355434,4.168951375110881,15.467284156412994,-0.004120438692335165
FT Rolling Origin,39137.562891606234,32637.4125,11.923026452553422,3.5555897344724343,12.939910696270848,-0.7672905133170026
ZR Rolling Origin,38123.679001661534,31737.171875,11.601056803105317,3.45751558950751,12.538580244671227,-0.8018474242350543
