Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,6462457.615046461,6348558.4,27.285506511250535,15.110528176848401,23.8204820155329,0.9259643782805898
ZR Steps Ahead,4692462.637222549,4152550.4,18.430053296381693,9.883697348516648,16.427360544799136,0.5955331697828148
FT Rolling Origin,5524960.406905664,5131493.6,22.50967755889482,12.213730070139581,19.824483344051536,0.7164625257646631
ZR Rolling Origin,4924927.868057359,4549419.2,19.987986232634924,10.828305054245876,17.819006542593428,0.9466622607811055
