Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,15.103015739592507,15.09775619506836,19.79391519826965,4.156708110376574,21.975573590432592,0.9961541608823704
ZR Steps Ahead,7.8149799545973595,6.648471069335938,8.430068973377999,1.8304543574852432,8.913982437633905,-0.9487111566711026
FT Rolling Origin,8.524001572128677,7.881974792480468,10.108067201953737,2.170062102101585,10.723850432921926,0.8053774172737117
ZR Rolling Origin,7.720354980982464,6.359840393066406,8.021746277601657,1.750988676793901,8.509319318923634,-0.7280113825865241
