Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,10.155201906401121,9.32513427734375,11.930354463607337,2.567392185975742,12.815546306164421,0.8767143124670891
ZR Steps Ahead,11.614048020931884,11.249339294433593,14.551054251594769,3.097163530619477,15.751746898123345,0.8568952462521848
FT Rolling Origin,15.271787763562841,15.09775619506836,19.662092229225394,4.156708110376574,21.84251581181046,0.8759450882347274
ZR Rolling Origin,10.33437446331306,9.902395629882813,12.772960750139015,2.7263235473584264,13.705156518190813,0.9279477703938014
