Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,0.2145444492581793,0.1933009862899781,16.510001177495937,0.48895694719477856,15.333881658628812,-0.22759244597137682
ZR Steps Ahead,0.22162833997444387,0.2035700082778929,17.323692220704352,0.514932550000832,19.343047970795155,0.8003104632736643
FT Rolling Origin,0.3208099653139079,0.29766426086425773,25.29090084660891,0.752944985303076,26.53038456006615,-0.7137638947346613
ZR Rolling Origin,0.09923097085630535,0.07390973567962655,6.465389063152929,0.18695548025642356,6.256340282170945,
