Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,10.213184235004837,9.036502075195312,11.498162051759971,2.487926085180038,12.39141001383968,-0.4170091864323402
ZR Steps Ahead,15.907224247302784,15.771230316162109,20.55364749667353,4.342128732163641,22.934331738444687,0.9181296173771559
FT Rolling Origin,16.129516449892627,16.05986099243164,20.971781170346894,4.421594412854984,23.439337282457657,0.9643580747059394
ZR Rolling Origin,12.770708246532566,12.59628677368164,16.380755435951627,3.468004564141431,17.866629577205238,0.9396511629688085
