Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,22.728894873630733,22.60216827392578,29.779066051454496,6.222819799342904,35.14231790564254,0.9689173811373595
ZR Steps Ahead,17.138893150955813,17.11817398071289,22.410548375969512,4.712968715424691,25.24503671182925,0.9872624439823552
FT Rolling Origin,9.902457610200841,9.228924560546876,11.83805480388796,2.5409037657800817,12.681832705595747,0.8923005761743558
ZR Rolling Origin,18.92714045009036,18.84996337890625,24.822265521217588,5.18976426993801,28.425999686985868,0.9803037896210756
