Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,9.802215865408058,8.940292358398438,11.42703678332479,2.461437664984378,12.246468660517824,0.8813073334205885
ZR Steps Ahead,12.152860838990359,12.115232849121094,15.834599708280928,3.335560992797865,17.199579302609074,0.9882336715542962
FT Rolling Origin,20.56978909681368,20.293119049072267,26.853947890140194,5.5870933035512635,31.295744014247617,0.9831206527561828
ZR Rolling Origin,15.740377082120952,15.386387634277344,19.93652193151396,4.236174001120097,22.219038159544507,0.8710052197909154
