Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,9.526012743900546,9.132708740234374,11.786687177559566,2.5144136651669755,12.575604495484477,0.9087152303401369
ZR Steps Ahead,8.816920174582634,8.170608520507812,10.471209010114498,2.24952862300165,11.131925042274249,0.9613890236470594
FT Rolling Origin,16.45759801828631,16.4447021484375,21.539019231303897,4.527548723794166,24.144096004656813,0.9922084257584205
ZR Rolling Origin,12.234652577028873,11.92281265258789,15.43885011119665,3.2825839423543637,16.776348897285548,0.9654108527065546
