Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,685230.3137048339,573944.0,19.763282660130216,9.760874621894372,17.22684005059478,0.22283023270776675
ZR Steps Ahead,621622.9205544346,493208.6,17.192875722303597,8.387834539676435,15.05733574764914,-0.7016088779663214
FT Rolling Origin,749194.1546697192,704102.9,23.475062744125324,11.974443722405375,20.576634319603514,0.9602071660375053
ZR Rolling Origin,646238.3733680823,555782.2,19.01227051182429,9.452002932830768,16.747210441305022,0.8889615163104744
