Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,7.341489005999901,6.837913513183594,8.322624500414308,1.4638296142735001,8.733139367112871,0.8810492605436423
ZR Steps Ahead,9.447268187393103,9.328765869140625,11.480281860634019,1.9970600267966956,12.191110846704182,0.957856785323775
FT Rolling Origin,12.284094998655753,12.212910461425782,15.084287041533054,2.614484663404618,16.327053466172416,0.9357527135548326
ZR Rolling Origin,7.864032629488114,6.969013977050781,8.42769642480594,1.4918950089415928,8.895889215695647,0.049080373292868774
