Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,1415.6534133753034,1202.11484375,2.3521322128801723,0.7066694347115895,2.3818484698086135,0.5705171697234858
ZR Steps Ahead,1712.956552511901,1532.0453125,3.0228251243666953,0.9006207689438286,3.0330328667346147,-0.23978095953473497
FT Rolling Origin,1225.9687109621432,1121.24453125,2.2297342576902945,0.659129402811601,2.222262784981432,0.9083048955872105
ZR Rolling Origin,1409.2879956266247,1285.56484375,2.545188857483036,0.7557259492644921,2.546082197780339,0.5271598425380422
