Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,272036.02167865564,230116.3,4.741509124988565,2.2530932553961236,4.855628618293164,0.17796376858031332
ZR Steps Ahead,481776.6110474854,342683.0,7.500158452628966,3.355245830212418,6.978733259084321,-0.7241064667188459
FT Rolling Origin,368616.20444806817,260468.0,5.71944583337093,2.5502699897682937,5.402376337079833,-0.7305586194174137
ZR Rolling Origin,324617.015650212,267466.3,5.763608624997396,2.6187910920510897,5.591597155382924,-0.6448667036049853
