Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,15.590871669513879,15.578809356689453,20.413401971802987,4.289151471667959,22.74112855672682,0.9912820044451478
ZR Steps Ahead,16.008956174962627,15.867438507080077,20.65730776732199,4.36861673225494,23.055177826005263,0.9901771314808141
FT Rolling Origin,14.727419385634303,14.616704559326172,19.0516982069172,4.024265169189549,21.072178191327442,0.9623174855893682
ZR Rolling Origin,19.744627008080247,19.71585693359375,25.90338535248911,5.428161732116397,29.802821538546443,0.9837826870855081
