Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,12.417249711916716,12.403864288330078,16.265040118846983,3.415026883541388,17.712831688066046,0.9912102029864013
ZR Steps Ahead,12.229633023006484,11.634180450439453,14.986691294064736,3.2031178415586603,16.31452672353289,0.5609339174590503
FT Rolling Origin,13.626636150522865,13.365968322753906,17.337101591352795,3.679912975967617,19.02652170648708,0.9495459487519575
ZR Rolling Origin,11.635651948142597,11.441761779785157,14.856946495854062,3.1501412112195206,16.074742017006866,0.9648012164121739
