Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,14.872826215753966,14.809126281738282,19.504710573966516,4.077242639737412,21.663970556924603,0.9860868357549915
ZR Steps Ahead,24.682607340604548,24.43016586303711,32.29329261380241,6.726103353947521,38.842980335689546,0.9886894798530244
FT Rolling Origin,23.125063536128568,22.987010192871093,30.315863235078815,6.328774320334268,35.9165497432285,0.9831646002101128
ZR Rolling Origin,13.992524923509494,13.943231964111328,18.231605250063414,3.8388449675068435,20.06823773347106,0.972251210277813
