Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,10.372113167755977,9.806185913085937,12.612009181105796,2.699835127162766,13.545149777708316,0.9257898047933164
ZR Steps Ahead,18.64970622935693,18.561331939697265,24.43893082718121,5.110298379194487,27.92479283364864,0.9739171774653886
FT Rolling Origin,9.750989882192531,8.747871398925781,11.151953198095994,2.408460404488696,11.960853332103563,0.26295657277902185
ZR Rolling Origin,12.29404835307265,11.82660140991211,15.262318400358838,3.256095102054342,16.60449713195231,0.9411341576066472
