Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,5893735.75650032,5740026.0,24.79623436885045,13.66212912349399,21.8437383538089,0.96950495181056
ZR Steps Ahead,4072363.069200486,3423771.6,15.348476582343071,8.149093695490512,13.8223890111496,-0.9276706685345877
FT Rolling Origin,3991383.8653779216,3344398.0,14.99594279249224,7.96017253516884,13.533197249903031,-0.9532860730363022
ZR Rolling Origin,4424268.880106724,3676306.8,16.526500121770944,8.750165626284446,14.720144796760264,-0.7664712693255503
