Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,779901.467861093,662478.85,13.353947592313558,2.283835495050995,14.67997611189064,0.4175640511817552
ZR Steps Ahead,661979.7028145953,528043.8,10.508534530902589,1.8203829048755424,11.436322463136769,-0.6503922405934375
FT Rolling Origin,906183.7184655769,846987.3,17.484671740918383,2.9199115709088765,19.356373428156914,0.8897981998554501
ZR Rolling Origin,752521.1810109151,604618.75,12.058855913409808,2.0843680703517764,13.267806075627572,-0.794503684299394
