Method,RMSE,MAE,MAPE (%),MASE,SMAPE (%),Correlation
FT Steps Ahead,4620989.199718606,4205466.0,18.547489382716833,10.009644471377618,16.613338784647432,0.9672950305056224
ZR Steps Ahead,5231390.393131065,4787540.8,21.082723948399355,11.395070439331759,18.64710357272276,0.7474837113034537
FT Rolling Origin,5124589.750906896,4972746.0,21.50110240217622,11.835886797435805,19.22792742589879,0.953304759982646
ZR Rolling Origin,6350649.573638716,6216268.4,26.793370212428798,14.79565798954489,23.413590456179882,0.9634016099147662
